ST_CASE,VEH_NO,PHARM_EV,PCARGTYP,PSP_USE,PVEH_SEV,PDEATHS
400255,2,14,99,0,2,0
400311,2,11,0,0,6,0
400383,2,45,2,0,6,0
410075,2,14,1,0,9,0
410194,2,14,0,0,8,0
410232,2,14,3,0,4,0
410255,3,12,0,0,6,0
410255,4,12,0,0,9,0
410255,5,12,0,0,9,0
410255,6,12,0,0,9,0
410255,7,12,0,0,2,0
410266,3,12,0,0,9,0
410266,4,12,0,0,9,0
410355,3,12,1,0,9,0
420061,2,33,0,0,6,0
420061,3,33,0,0,4,0
420061,4,33,0,0,2,0
420143,2,14,1,0,4,0
420198,2,53,0,0,2,0
420222,2,14,1,0,6,0
420222,3,14,2,0,2,0
420252,3,12,0,0,2,0
420315,2,14,0,0,6,0
420317,2,14,0,0,6,0
420331,2,14,0,0,2,0
420331,3,14,0,0,4,0
420334,2,33,0,0,4,0
420334,3,33,0,0,2,0
420349,3,12,0,0,6,0
420349,4,12,0,0,6,0
420349,5,12,0,0,6,0
420355,2,14,0,0,2,0
420361,3,12,0,0,2,0
420361,4,12,0,0,6,0
420361,5,12,0,0,9,0
420369,2,9,0,0,9,0
420432,3,12,0,0,4,0
420438,3,12,0,0,2,0
420453,2,9,0,0,6,0
420453,3,9,0,0,6,0
420544,2,14,0,0,2,0
420622,2,33,0,0,2,0
420631,2,14,0,0,4,0
420679,2,8,0,0,4,0
420697,2,33,0,0,9,0
420704,1,14,0,0,6,0
420704,2,14,1,0,4,0
420704,3,14,0,0,6,0
420704,4,14,0,0,6,0
420713,4,12,0,0,2,0
420718,2,59,0,0,6,0
420741,3,12,0,0,2,0
420767,2,14,98,0,6,0
420767,3,14,98,0,6,0
420769,3,12,0,0,9,0
420769,4,12,0,0,2,0
420769,5,12,0,0,2,0
420780,2,30,0,0,6,0
420780,3,30,0,0,4,0
420796,2,8,1,0,2,0
420837,2,31,0,0,2,0
420895,3,12,0,0,2,0
420928,2,59,96,0,2,0
421037,3,12,96,0,2,0
421043,2,14,1,0,6,0
421046,2,25,1,0,2,0
421049,2,14,0,0,4,0
